"","offset","location","condition","realism","response"
"998",300,0,17,"real",3
"999",200,0,17,"real",4
"1000",100,1,4,"unreal",1
"1001",200,1,4,"unreal",1
"1002",300,0.5,17,"real",3
"1003",400,1,17,"real",3
"1004",400,0.5,17,"real",3
"1005",400,0,4,"unreal",1
"1006",0,1,17,"real",9
"1007",400,0,17,"real",5
"1008",400,0.5,4,"unreal",1
"1009",0,0,17,"real",9
"1010",300,1,4,"unreal",1
"1011",0,1,4,"unreal",7
"1012",100,0.5,17,"real",7
"1013",400,1,4,"unreal",1
"1014",200,0.5,17,"real",4
"1015",100,0.5,4,"unreal",1
"1016",0,0.5,17,"real",9
"1017",0,0.5,4,"unreal",8
"1018",0,0,4,"unreal",7
"1019",100,0,17,"real",7
"1020",200,0.5,4,"unreal",1
"1021",0,1,4,"unreal",7
"1022",400,0,4,"unreal",1
"1023",200,0.5,17,"real",5
"1024",100,0.5,4,"unreal",1
"1025",300,0,4,"unreal",1
"1026",0,0.5,17,"real",9
"1027",300,1,4,"unreal",1
"1028",0,1,17,"real",9
"1029",200,0.5,4,"unreal",1
"1030",400,0,17,"real",3
"1031",200,0,4,"unreal",1
"1032",0,0,17,"real",9
"1033",200,1,17,"real",7
"1034",300,0.5,4,"unreal",1
"1035",100,1,4,"unreal",5
"1036",200,0,17,"real",4
"1037",100,0.5,17,"real",7
"1038",400,1,17,"real",5
"1039",200,1,4,"unreal",1
"1040",300,0,17,"real",4
"1041",100,0,17,"real",7
"1042",100,1,17,"real",8
"1043",100,0,4,"unreal",1
"1044",400,0.5,17,"real",3
"1045",300,1,17,"real",3
"1046",400,1,4,"unreal",1
"1047",0,0.5,4,"unreal",7
"1048",400,0.5,4,"unreal",1
"1049",0,0,4,"unreal",9
"1050",300,0.5,17,"real",3
"1051",200,0.5,4,"unreal",1
"1052",0,1,17,"real",9
"1053",200,0,4,"unreal",1
"1054",300,0,17,"real",5
"1055",100,1,17,"real",7
"1056",300,0,4,"unreal",1
"1057",0,0.5,17,"real",9
"1058",200,0,17,"real",7
"1059",100,0,17,"real",7
"1060",0,1,4,"unreal",7
"1061",400,1,17,"real",5
"1062",100,0,4,"unreal",3
"1063",400,0.5,17,"real",3
"1064",200,1,17,"real",3
"1065",400,0,17,"real",4
"1066",0,0,17,"real",9
"1067",300,0.5,4,"unreal",1
"1068",200,0.5,17,"real",3
"1069",0,0,4,"unreal",7
"1070",400,1,4,"unreal",1
"1071",100,1,4,"unreal",5
"1072",300,1,17,"real",4
"1073",0,0.5,4,"unreal",8
"1074",300,1,4,"unreal",1
"1075",400,0,4,"unreal",1
"1076",300,0.5,17,"real",4
"1077",200,1,4,"unreal",1
"1078",100,0.5,4,"unreal",1
"1079",100,0.5,17,"real",5
"1080",400,0.5,4,"unreal",1
"1081",0,1,4,"unreal",7
"1082",400,0,4,"unreal",3
"1083",0,0,17,"real",8
"1084",400,0.5,17,"real",3
"1085",100,0.5,4,"unreal",6
"1086",300,0,4,"unreal",4
"1087",300,0.5,17,"real",4
"1088",200,0,4,"unreal",6
"1089",0,1,17,"real",8
"1090",200,1,4,"unreal",4
