"","block","signals","offset","response"
"1913","audioKinesVibro",4,100,0
"1914","audioKinesVibro",4,600,0
"1915","audioKinesVibro",4,300,1
"1916","audioKinesVibro",4,500,0
"1917","audioKinesVibro",4,400,0
"1918","audioKinesVibro",4,300,0
"1919","audioKinesVibro",4,0,0
"1920","audioKinesVibro",4,300,0
"1921","audioKinesVibro",4,100,1
"1922","audioKinesVibro",4,600,0
"1923","audioKinesVibro",4,500,0
"1924","audioKinesVibro",4,0,1
"1925","audioKinesVibro",4,0,1
"1926","audioKinesVibro",4,0,1
"1927","audioKinesVibro",4,300,0
"1928","audioKinesVibro",4,0,1
"1929","audioKinesVibro",4,400,0
"1930","audioKinesVibro",4,200,1
"1931","audioKinesVibro",4,200,0
"1932","audioKinesVibro",4,600,0
"1933","audio",2,0,1
"1934","audio",2,300,0
"1935","audio",2,500,0
"1936","audio",2,500,0
"1937","audio",2,100,1
"1938","audio",2,600,0
"1939","audio",2,0,1
"1940","audio",2,200,0
"1941","audio",2,300,0
"1942","audio",2,600,0
"1943","audio",2,300,0
"1944","audio",2,300,0
"1945","audio",2,0,1
"1946","audio",2,500,0
"1947","audio",2,200,1
"1948","audio",2,300,0
"1949","audio",2,100,1
"1950","audio",2,400,0
"1951","audio",2,600,0
"1952","audio",2,100,1
"1953","audio",2,300,0
"1954","audio",2,400,0
"1955","audio",2,600,0
"1956","audio",2,600,0
"1957","audio",2,100,0
"1958","audio",2,600,0
"1959","audio",2,0,1
"1960","audio",2,400,0
"1961","audio",2,500,0
"1962","audio",2,100,1
"1963","audio",2,100,0
"1964","audio",2,200,0
"1965","audio",2,400,0
"1966","audio",2,200,0
"1967","audio",2,500,0
"1968","audio",2,0,1
"1969","audio",2,200,0
"1970","audio",2,0,1
"1971","audio",2,200,0
"1972","audio",2,500,0
"1973","audio",2,400,0
"1974","audio",2,400,0
"1975","audioKines",3,0,1
"1976","audioKines",3,400,0
"1977","audioKines",3,200,0
"1978","audioKines",3,300,0
"1979","audioKines",3,0,1
"1980","audioKines",3,300,0
"1981","audioKines",3,600,0
"1982","audioKines",3,200,0
"1983","audioKines",3,0,1
"1984","audioKines",3,600,0
"1985","audioKines",3,400,0
"1986","audioKines",3,400,0
"1987","audioKines",3,300,0
"1988","audioKines",3,200,0
"1989","audioKines",3,600,0
"1990","audioKines",3,500,0
"1991","audioKines",3,200,0
"1992","audioKines",3,600,0
"1993","audioKines",3,500,0
"1994","audioKines",3,300,0
"1995","audioKines",3,500,0
"1996","audioKines",3,100,0
"1997","audioKines",3,100,0
"1998","audioKines",3,100,1
"1999","audioKines",3,500,0
"2000","audioKines",3,400,0
"2001","audioKines",3,300,0
"2002","audioKines",3,400,0
"2003","audioKines",3,600,0
"2004","audioKines",3,200,0
"2005","audioKines",3,100,1
"2006","audioKines",3,0,1
"2007","audioKines",3,0,1
"2008","audioKines",3,500,0
"2009","audioKines",3,500,0
"2010","audioKines",3,600,0
"2011","audioKines",3,300,0
"2012","audioKines",3,400,0
"2013","audioKines",3,200,0
"2014","audioKines",3,100,0
"2015","audioKines",3,0,0
"2016","audioKines",3,100,1
"2017","kinesVibro",3,500,0
"2018","kinesVibro",3,300,0
"2019","kinesVibro",3,100,0
"2020","kinesVibro",3,500,0
"2021","kinesVibro",3,200,0
"2022","kinesVibro",3,300,0
"2023","kinesVibro",3,0,1
"2024","kinesVibro",3,100,0
"2025","kinesVibro",3,200,0
"2026","kinesVibro",3,0,1
"2027","kinesVibro",3,600,0
"2028","kinesVibro",3,400,0
"2029","kinesVibro",3,500,0
"2030","kinesVibro",3,400,0
"2031","kinesVibro",3,100,0
"2032","kinesVibro",3,0,1
"2033","kinesVibro",3,300,0
"2034","kinesVibro",3,400,0
"2035","kinesVibro",3,300,0
"2036","kinesVibro",3,200,0
"2037","kinesVibro",3,600,0
"2038","kinesVibro",3,100,0
"2039","kinesVibro",3,400,0
"2040","kinesVibro",3,100,1
"2041","kinesVibro",3,200,0
"2042","kinesVibro",3,400,0
"2043","kinesVibro",3,500,0
"2044","kinesVibro",3,300,0
"2045","kinesVibro",3,200,0
"2046","kinesVibro",3,200,0
"2047","kinesVibro",3,600,0
"2048","kinesVibro",3,0,1
"2049","kinesVibro",3,400,0
"2050","kinesVibro",3,500,0
"2051","kinesVibro",3,600,0
"2052","kinesVibro",3,100,1
"2053","kinesVibro",3,500,0
"2054","kinesVibro",3,600,0
"2055","kinesVibro",3,0,1
"2056","kinesVibro",3,600,0
"2057","kinesVibro",3,0,1
"2058","kinesVibro",3,300,0
"2059","visual",1,0,1
"2060","visual",1,0,1
"2061","visual",1,600,0
"2062","visual",1,500,0
"2063","visual",1,500,0
"2064","visual",1,200,0
"2065","visual",1,300,0
"2066","visual",1,100,0
"2067","visual",1,200,0
"2068","visual",1,200,0
"2069","visual",1,600,0
"2070","visual",1,600,0
"2071","visual",1,600,0
"2072","visual",1,500,0
"2073","visual",1,100,0
"2074","visual",1,600,0
"2075","visual",1,300,0
"2076","visual",1,400,0
"2077","visual",1,300,0
"2078","visual",1,500,0
"2079","visual",1,0,1
"2080","visual",1,600,0
"2081","visual",1,300,0
"2082","visual",1,500,0
"2083","visual",1,200,0
"2084","visual",1,100,0
"2085","visual",1,200,0
"2086","visual",1,300,0
"2087","visual",1,100,0
"2088","visual",1,200,0
"2089","visual",1,100,1
"2090","visual",1,400,0
"2091","visual",1,400,0
"2092","visual",1,400,0
"2093","visual",1,0,1
"2094","visual",1,0,1
"2095","visual",1,300,0
"2096","visual",1,500,0
"2097","visual",1,100,0
"2098","visual",1,400,0
"2099","visual",1,400,0
"2100","visual",1,0,1
"2101","audioVibro",3,600,0
"2102","audioVibro",3,300,0
